USFL,,,,,,,,,
CAA,North,South,,,,,,,
TEAM,Division III,A,Selkirk Rex,SKRX,48,GDFN,,,
TEAM,Division III,A,Egyptian Mau,EGMA,47,TKVN,,,
TEAM,Division III,B,Birman,BRMN,46,LAPE,,,
TEAM,Division III,B,Himalayan,HMAY,45,ABYS,,,
TEAM,Division III,B,Jaguars,JGUR,44,PRGC,,,
TEAM,Division III,B,Cornish Rex,CNRX,43,TOYG,,,
TEAM,Division III,B,Tonkinese Cat,TKCT,42,PRSI,,,
TEAM,Division III,B,Goldfinches,GDFN,41,SKRX,,,
TEAM,Division III,B,Turkish Van,TKVN,40,EGMA,,,
# PFL Qualifiers,,,,,,,,,
TEAM,PFL Qualifiers,A,Bengal,BNGL,39,HMSK,,,
TEAM,PFL Qualifiers,A,Cardinals,CRDN,38,PRKT,,,
TEAM,PFL Qualifiers,A,Nebelung,NBLG,37,BTLG,,,
TEAM,PFL Qualifiers,A,Pixie Bob,PXBB,36,DVRX,,,
TEAM,PFL Qualifiers,A,Bulldogs,BLDG,35,LYKO,,,
TEAM,PFL Qualifiers,A,Blackbirds,BLCB,34,PTBD,,,
TEAM,PFL Qualifiers,A,Dalmatians,DLMT,33,PMRN,,,
TEAM,PFL Qualifiers,B,Hamsketeers,HMSK,32,BNGL,,,
TEAM,PFL Qualifiers,B,Parakeets,PRKT,31,CRDN,,,
TEAM,PFL Qualifiers,B,British Longhair,BTLG,30,NBLG,,,
TEAM,PFL Qualifiers,B,Devon Rex,DVRX,29,PXBB,,,
TEAM,PFL Qualifiers,B,Lykoi,LYKO,28,BLDG,,,
TEAM,PFL Qualifiers,B,Peterbald,PTBD,27,BLCB,,,
TEAM,PFL Qualifiers,B,Pomeranian,PMRN,26,DLMT,,,
# PFL B League,,,,,,,,,
TEAM,PFL B League,A,Sphynx,SPYX,25,ROTT,,,
TEAM,PFL B League,A,Tigers,TIGR,24,GRYH,,,
TEAM,PFL B League,A,Van Cat,VACT,23,GRDN,,,
TEAM,PFL B League,A,Chihuahua,CHHA,22,MLTS,,,
TEAM,PFL B League,A,Dachshund,DACH,21,SHTZ,,,
TEAM,PFL B League,A,Siberian Husky,SBHY,20,BRCL,,,
TEAM,PFL B League,A,French Bulldog,FRBD,19,AKMA,,,
TEAM,PFL B League,B,Rottweiler,ROTT,18,SPYX,,,
TEAM,PFL B League,B,Greyhound,GRYH,17,TIGR,,,
TEAM,PFL B League,B,Great Dane,GRDN,16,VACT,,,
TEAM,PFL B League,B,Maltese,MLTS,15,CHHA,,,
TEAM,PFL B League,B,Shih Tzu,SHTZ,14,DACH,,,
TEAM,PFL B League,B,Border Collie,BRCL,13,SBHY,,,
TEAM,PFL B League,B,Alaskan Malamute,AKMA,12,FRBD,,,
